concurso,metodo,dezenas,acertos
777,M1_aleatorio_puro,02-07-08-09-10-11-12-15-16-18-19-20-21-23-24,10
777,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-17-19-23-24-25,11
777,M3_mais_atrasadas,05-06-07-08-09-13-14-15-16-17-20-21-23-24-25,11
777,M4_par_impar_balanceado,01-04-06-07-08-10-13-15-16-19-20-21-22-23-24,8
777,M5_soma_faixa_comum,01-03-05-08-09-10-11-12-13-16-17-18-21-22-24,8
778,M1_aleatorio_puro,01-02-05-06-07-09-10-11-12-14-16-18-19-24-25,11
778,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-17-19-23-24-25,8
778,M3_mais_atrasadas,01-04-05-07-08-10-13-15-17-18-19-21-22-24-25,9
778,M4_par_impar_balanceado,04-06-07-08-12-13-14-15-16-17-18-19-21-22-23,7
778,M5_soma_faixa_comum,01-02-03-04-06-07-09-13-14-18-19-20-21-23-24,8
779,M1_aleatorio_puro,05-06-07-08-10-11-13-15-17-18-19-21-23-24-25,8
779,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-17-19-23-24-25,9
779,M3_mais_atrasadas,01-02-03-04-07-08-12-14-17-18-20-21-22-23-24,9
779,M4_par_impar_balanceado,02-06-07-08-09-10-12-13-16-17-20-21-23-24-25,9
779,M5_soma_faixa_comum,02-03-04-05-08-09-14-15-17-18-19-20-22-24-25,9
780,M1_aleatorio_puro,01-02-03-04-06-07-09-11-13-14-15-19-23-24-25,8
780,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-22-23-24-25,6
780,M3_mais_atrasadas,01-02-03-04-05-06-07-10-13-15-18-21-23-24-25,10
780,M4_par_impar_balanceado,01-03-04-07-08-09-10-11-12-14-17-18-20-24-25,9
780,M5_soma_faixa_comum,01-02-03-05-08-09-10-11-13-17-18-19-20-22-25,9
781,M1_aleatorio_puro,03-04-05-07-08-09-10-11-13-15-16-17-23-24-25,9
781,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-17-19-23-24-25,10
781,M3_mais_atrasadas,01-02-04-05-07-09-11-12-14-16-17-19-22-23-24,10
781,M4_par_impar_balanceado,03-04-05-06-07-10-11-14-15-16-17-18-19-20-22,10
781,M5_soma_faixa_comum,01-05-06-07-08-09-12-13-15-17-20-21-23-24-25,7
782,M1_aleatorio_puro,03-04-05-06-08-09-11-12-15-17-21-22-23-24-25,8
782,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-17-19-23-24-25,8
782,M3_mais_atrasadas,03-05-06-07-10-11-12-13-16-17-18-21-22-23-24,9
782,M4_par_impar_balanceado,03-04-05-06-08-11-13-14-16-17-18-19-20-23-24,10
782,M5_soma_faixa_comum,03-04-05-06-07-09-10-11-13-15-20-21-23-24-25,8
783,M1_aleatorio_puro,02-03-04-07-09-11-12-13-15-17-18-19-20-22-23,8
783,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,8
783,M3_mais_atrasadas,01-02-03-04-05-06-07-14-16-19-20-22-23-24-25,10
783,M4_par_impar_balanceado,02-03-04-07-10-13-14-15-16-17-18-19-20-23-24,8
783,M5_soma_faixa_comum,01-02-03-06-10-13-14-15-16-17-20-21-23-24-25,9
784,M1_aleatorio_puro,01-02-03-06-07-08-10-11-14-15-16-17-20-22-24,8
784,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,10
784,M3_mais_atrasadas,01-02-03-04-09-10-12-14-15-17-18-19-20-23-25,10
784,M4_par_impar_balanceado,01-02-06-08-09-10-11-13-15-18-20-21-22-23-24,10
784,M5_soma_faixa_comum,01-02-03-07-08-09-11-13-16-18-19-20-21-24-25,10
785,M1_aleatorio_puro,01-04-05-06-07-09-11-13-14-17-18-19-20-22-25,8
785,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,11
785,M3_mais_atrasadas,02-05-06-08-09-10-12-13-14-16-17-19-21-22-24,9
785,M4_par_impar_balanceado,01-02-05-06-08-10-11-13-14-17-18-20-21-23-24,9
785,M5_soma_faixa_comum,01-02-03-05-06-08-11-12-13-15-16-19-23-24-25,10
786,M1_aleatorio_puro,02-03-04-06-07-09-11-12-16-18-21-22-23-24-25,9
786,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,11
786,M3_mais_atrasadas,01-02-03-05-06-08-09-11-14-15-18-20-22-24-25,8
786,M4_par_impar_balanceado,01-04-05-07-08-10-12-13-16-18-21-22-23-24-25,10
786,M5_soma_faixa_comum,02-03-04-06-07-09-12-13-14-15-17-18-20-21-24,9
787,M1_aleatorio_puro,01-03-04-05-06-07-09-10-11-12-16-21-22-24-25,8
787,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,10
787,M3_mais_atrasadas,01-03-07-09-12-14-15-16-17-18-19-20-22-23-25,9
787,M4_par_impar_balanceado,02-03-05-08-09-10-11-12-15-16-17-18-20-22-25,9
787,M5_soma_faixa_comum,02-03-04-05-08-10-11-13-15-16-17-18-20-22-25,9
788,M1_aleatorio_puro,01-04-05-06-07-11-12-13-14-16-17-18-19-21-24,8
788,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,10
788,M3_mais_atrasadas,02-03-06-07-08-11-14-15-18-19-20-21-22-24-25,8
788,M4_par_impar_balanceado,03-05-06-08-09-10-12-13-14-16-17-18-19-23-24,9
788,M5_soma_faixa_comum,01-02-08-09-10-11-12-13-14-15-16-17-22-23-25,10
789,M1_aleatorio_puro,02-04-05-06-09-10-13-15-16-17-18-21-23-24-25,8
789,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,9
789,M3_mais_atrasadas,02-03-05-06-07-11-13-14-15-17-18-19-20-21-24,9
789,M4_par_impar_balanceado,02-03-06-07-09-10-13-14-15-16-18-19-20-21-24,10
789,M5_soma_faixa_comum,01-02-04-05-06-07-12-15-16-19-20-21-22-23-24,9
790,M1_aleatorio_puro,01-02-03-05-06-09-10-14-15-16-18-19-21-22-24,8
790,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,6
790,M3_mais_atrasadas,01-05-06-07-09-12-13-14-15-16-17-20-21-23-25,8
790,M4_par_impar_balanceado,01-02-03-05-06-08-10-13-14-15-16-18-19-22-25,10
790,M5_soma_faixa_comum,01-02-03-04-07-10-11-12-16-18-19-21-22-23-24,10
791,M1_aleatorio_puro,01-04-05-06-07-10-11-14-17-19-20-22-23-24-25,10
791,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,8
791,M3_mais_atrasadas,01-02-04-05-09-11-14-15-16-17-19-21-23-24-25,8
791,M4_par_impar_balanceado,01-03-08-09-10-11-12-13-14-16-17-18-22-24-25,9
791,M5_soma_faixa_comum,01-03-04-06-09-11-12-13-14-15-18-20-21-22-23,9
792,M1_aleatorio_puro,02-03-04-05-06-10-14-15-17-19-21-22-23-24-25,9
792,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,9
792,M3_mais_atrasadas,01-04-05-09-11-12-14-15-16-17-18-19-20-21-24,8
792,M4_par_impar_balanceado,01-02-04-05-06-08-11-13-14-15-18-20-23-24-25,9
792,M5_soma_faixa_comum,02-04-05-06-09-11-12-13-14-16-17-19-20-23-24,8
793,M1_aleatorio_puro,01-04-07-08-09-11-15-16-17-18-19-20-22-23-24,9
793,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,10
793,M3_mais_atrasadas,01-02-04-05-06-07-08-09-11-13-15-16-17-22-24,8
793,M4_par_impar_balanceado,03-04-05-06-08-10-12-13-14-15-16-19-21-23-24,7
793,M5_soma_faixa_comum,02-03-04-07-08-12-14-15-17-18-19-20-21-22-25,10
794,M1_aleatorio_puro,01-02-03-04-06-10-11-14-16-17-20-21-22-24-25,10
794,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,10
794,M3_mais_atrasadas,01-03-05-06-08-10-12-13-15-19-20-22-23-24-25,10
794,M4_par_impar_balanceado,02-03-05-08-09-10-11-12-13-14-20-22-23-24-25,11
794,M5_soma_faixa_comum,01-02-04-05-06-07-08-11-12-15-20-22-23-24-25,12
795,M1_aleatorio_puro,01-03-06-07-08-10-11-12-13-15-16-19-20-21-23,9
795,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,8
795,M3_mais_atrasadas,02-06-07-09-10-12-13-15-16-17-18-19-21-22-24,10
795,M4_par_impar_balanceado,03-06-07-08-10-11-14-15-18-19-20-21-22-23-24,9
795,M5_soma_faixa_comum,01-02-03-05-08-09-12-16-17-18-19-20-21-22-23,9
796,M1_aleatorio_puro,01-10-11-13-14-15-16-17-18-19-20-21-23-24-25,9
796,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,7
796,M3_mais_atrasadas,01-05-06-11-12-13-15-16-17-18-19-20-23-24-25,7
796,M4_par_impar_balanceado,01-03-04-05-06-08-09-10-12-13-16-18-22-23-25,7
796,M5_soma_faixa_comum,01-02-04-08-09-10-11-13-14-15-16-18-20-24-25,10
797,M1_aleatorio_puro,01-02-03-05-06-08-09-10-11-13-16-17-19-20-21,10
797,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,8
797,M3_mais_atrasadas,01-03-05-09-10-12-13-14-15-16-19-22-23-24-25,6
797,M4_par_impar_balanceado,01-03-04-06-07-08-13-14-15-18-20-21-22-24-25,10
797,M5_soma_faixa_comum,02-03-04-05-08-09-10-11-16-17-20-21-22-23-25,9
798,M1_aleatorio_puro,02-03-06-08-09-10-12-14-15-16-17-18-23-24-25,9
798,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,7
798,M3_mais_atrasadas,01-03-04-05-06-09-10-12-13-14-15-16-22-23-24,11
798,M4_par_impar_balanceado,02-03-05-06-08-09-10-11-14-15-16-20-22-23-25,10
798,M5_soma_faixa_comum,04-05-08-09-10-11-12-14-15-16-17-19-22-23-25,9
799,M1_aleatorio_puro,01-06-07-08-13-15-16-17-18-19-20-21-22-23-24,10
799,M2_mais_frequentes,01-02-04-09-11-12-13-14-15-17-19-21-23-24-25,10
799,M3_mais_atrasadas,02-03-04-05-07-09-10-11-12-14-17-20-21-22-25,7
799,M4_par_impar_balanceado,01-04-05-06-07-08-10-12-13-14-15-18-19-20-25,8
799,M5_soma_faixa_comum,02-04-06-07-08-09-11-12-16-17-18-20-21-24-25,8
800,M1_aleatorio_puro,01-02-04-09-10-11-15-16-17-19-20-21-22-24-25,9
800,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,8
800,M3_mais_atrasadas,01-02-04-05-06-07-08-09-10-12-17-18-19-20-21,9
800,M4_par_impar_balanceado,03-04-08-11-13-14-15-16-18-20-21-22-23-24-25,10
800,M5_soma_faixa_comum,02-03-04-06-07-08-10-12-15-16-17-19-22-24-25,10
801,M1_aleatorio_puro,03-04-05-07-08-09-11-12-13-16-18-20-21-22-25,8
801,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,9
801,M3_mais_atrasadas,01-02-05-06-12-13-14-15-17-18-19-20-23-24-25,10
801,M4_par_impar_balanceado,01-03-04-08-10-11-12-15-16-17-18-19-20-22-25,10
801,M5_soma_faixa_comum,01-02-03-04-07-08-11-12-13-14-17-20-21-22-25,8
802,M1_aleatorio_puro,02-05-06-08-09-10-11-12-13-15-16-18-22-23-25,9
802,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,9
802,M3_mais_atrasadas,02-04-05-06-07-08-09-11-13-14-16-18-20-22-24,9
802,M4_par_impar_balanceado,03-04-06-07-08-09-11-12-14-15-16-18-19-20-25,9
802,M5_soma_faixa_comum,02-03-04-05-09-10-11-13-17-19-21-22-23-24-25,9
803,M1_aleatorio_puro,01-03-04-05-06-08-09-10-14-15-16-17-19-22-25,9
803,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,10
803,M3_mais_atrasadas,02-05-06-07-08-11-13-15-16-17-19-21-23-24-25,9
803,M4_par_impar_balanceado,01-02-04-05-08-09-10-11-12-15-16-19-22-24-25,9
803,M5_soma_faixa_comum,01-03-04-05-06-08-12-13-14-17-18-19-20-21-24,11
804,M1_aleatorio_puro,01-03-06-08-10-11-12-13-14-15-16-20-22-23-24,9
804,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,8
804,M3_mais_atrasadas,02-03-04-06-07-08-09-10-11-13-14-19-20-22-24,8
804,M4_par_impar_balanceado,01-02-04-06-10-12-13-14-15-16-17-19-21-22-23,8
804,M5_soma_faixa_comum,01-02-04-05-07-08-09-11-12-18-20-21-22-23-24,10
805,M1_aleatorio_puro,02-03-05-08-09-11-12-14-15-16-19-20-21-24-25,8
805,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,9
805,M3_mais_atrasadas,02-03-05-06-09-10-11-12-14-16-19-20-21-22-25,9
805,M4_par_impar_balanceado,01-02-03-06-07-09-10-16-18-19-20-22-23-24-25,10
805,M5_soma_faixa_comum,02-04-05-06-07-09-11-13-14-15-16-17-21-22-23,11
806,M1_aleatorio_puro,01-03-06-07-08-10-11-14-15-17-18-19-21-22-25,10
806,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,8
806,M3_mais_atrasadas,02-03-05-08-10-11-12-14-15-17-18-19-21-22-23,8
806,M4_par_impar_balanceado,03-04-06-07-08-09-10-12-13-17-18-20-21-22-25,7
806,M5_soma_faixa_comum,02-03-04-05-07-11-12-14-15-16-18-19-20-21-22,9
807,M1_aleatorio_puro,02-03-04-05-06-07-08-10-12-15-16-18-20-22-24,10
807,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,9
807,M3_mais_atrasadas,02-03-04-06-07-09-11-12-13-17-18-19-21-22-23,10
807,M4_par_impar_balanceado,01-04-06-08-09-10-11-12-13-15-17-18-20-21-22,8
807,M5_soma_faixa_comum,01-02-03-06-09-11-14-15-18-19-20-21-22-23-24,8
808,M1_aleatorio_puro,03-04-05-08-09-10-11-12-13-15-16-17-21-24-25,9
808,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,7
808,M3_mais_atrasadas,01-06-09-11-12-14-15-16-17-18-20-21-22-23-24,11
808,M4_par_impar_balanceado,03-05-08-10-11-12-13-15-16-18-19-20-22-23-24,8
808,M5_soma_faixa_comum,01-02-04-05-08-10-11-12-15-17-18-19-22-23-24,8
809,M1_aleatorio_puro,01-02-03-04-06-08-09-10-13-15-19-20-22-23-25,9
809,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,10
809,M3_mais_atrasadas,01-02-03-05-06-08-09-13-14-15-18-19-20-22-23,9
809,M4_par_impar_balanceado,01-02-03-04-06-08-10-13-15-16-18-19-20-21-25,9
809,M5_soma_faixa_comum,01-02-05-07-11-12-13-14-15-16-17-22-23-24-25,10
810,M1_aleatorio_puro,02-03-05-06-07-08-09-13-14-15-16-19-20-23-25,7
810,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,9
810,M3_mais_atrasadas,01-03-04-05-06-08-09-10-11-12-14-15-17-20-25,8
810,M4_par_impar_balanceado,03-04-05-06-07-08-10-11-14-15-16-19-20-23-24,8
810,M5_soma_faixa_comum,01-02-03-08-09-10-11-13-15-16-17-18-21-22-23,11
811,M1_aleatorio_puro,02-03-04-05-06-08-10-11-14-15-17-19-20-23-24,10
811,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,8
811,M3_mais_atrasadas,02-03-04-05-08-10-11-12-13-14-17-19-20-21-25,10
811,M4_par_impar_balanceado,02-03-05-06-07-08-14-15-16-17-18-19-20-23-24,9
811,M5_soma_faixa_comum,01-06-07-08-09-10-11-13-14-17-18-20-22-24-25,9
812,M1_aleatorio_puro,02-04-06-07-08-09-10-12-13-14-18-19-20-22-25,7
812,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,9
812,M3_mais_atrasadas,01-03-07-08-09-11-13-14-15-16-18-21-23-24-25,11
812,M4_par_impar_balanceado,01-02-05-08-10-12-14-15-16-17-19-21-22-23-24,9
812,M5_soma_faixa_comum,03-04-05-06-07-10-11-13-14-15-17-19-21-22-25,9
813,M1_aleatorio_puro,01-04-05-06-07-09-11-13-15-17-20-21-23-24-25,9
813,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,9
813,M3_mais_atrasadas,02-04-06-07-09-10-12-13-15-16-17-21-22-23-24,9
813,M4_par_impar_balanceado,03-05-08-09-10-11-12-13-14-15-18-20-21-22-24,7
813,M5_soma_faixa_comum,02-03-07-08-10-12-13-14-15-17-18-19-22-23-24,8
814,M1_aleatorio_puro,01-02-05-06-08-09-11-14-15-17-18-20-21-22-24,8
814,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,10
814,M3_mais_atrasadas,02-03-05-06-07-09-11-13-14-15-17-18-19-20-22,8
814,M4_par_impar_balanceado,01-02-03-05-06-08-09-10-11-16-18-22-23-24-25,7
814,M5_soma_faixa_comum,02-04-05-06-07-08-09-12-14-16-17-19-20-22-25,8
815,M1_aleatorio_puro,01-02-03-04-10-11-12-13-14-16-17-18-20-22-24,8
815,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,8
815,M3_mais_atrasadas,01-02-05-06-07-09-12-15-16-17-18-20-21-24-25,9
815,M4_par_impar_balanceado,01-02-03-04-05-06-07-08-09-12-16-18-21-22-25,7
815,M5_soma_faixa_comum,01-02-03-04-07-09-13-14-16-17-18-20-21-22-25,8
816,M1_aleatorio_puro,02-03-04-05-06-07-10-11-12-14-16-18-20-21-23,8
816,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,10
816,M3_mais_atrasadas,01-02-03-04-05-07-08-09-11-12-13-16-19-24-25,11
816,M4_par_impar_balanceado,02-03-04-06-07-09-10-12-13-14-15-18-19-21-24,8
816,M5_soma_faixa_comum,01-02-03-04-07-10-11-13-14-16-17-18-21-22-23,8
817,M1_aleatorio_puro,01-02-03-04-05-07-09-10-11-12-13-15-19-20-24,10
817,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,10
817,M3_mais_atrasadas,01-03-04-05-06-07-12-13-14-16-18-20-21-22-24,8
817,M4_par_impar_balanceado,01-02-03-04-06-07-08-11-16-17-20-21-22-24-25,10
817,M5_soma_faixa_comum,01-04-05-06-08-10-12-14-15-18-19-21-22-23-24,9
818,M1_aleatorio_puro,01-02-03-05-07-11-13-15-16-18-20-21-22-24-25,8
818,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,8
818,M3_mais_atrasadas,01-05-06-07-09-11-13-14-15-16-18-19-21-22-24,9
818,M4_par_impar_balanceado,01-03-04-06-08-10-12-13-14-15-20-21-23-24-25,10
818,M5_soma_faixa_comum,01-02-03-05-08-10-13-14-16-17-18-21-22-23-25,9
819,M1_aleatorio_puro,04-05-06-09-10-11-12-16-18-19-20-21-22-23-25,12
819,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,6
819,M3_mais_atrasadas,01-02-03-04-06-07-09-10-12-15-17-18-19-21-25,10
819,M4_par_impar_balanceado,02-03-04-06-10-12-13-14-15-17-18-19-20-21-25,9
819,M5_soma_faixa_comum,03-05-07-08-09-10-11-12-13-14-16-17-20-22-23,10
820,M1_aleatorio_puro,02-04-06-07-08-09-11-16-17-18-21-22-23-24-25,9
820,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,7
820,M3_mais_atrasadas,01-02-06-07-11-13-14-15-16-17-19-21-23-24-25,9
820,M4_par_impar_balanceado,01-03-04-05-06-07-08-12-14-16-17-18-20-23-25,8
820,M5_soma_faixa_comum,01-04-06-07-08-09-10-11-13-17-20-22-23-24-25,10
821,M1_aleatorio_puro,04-05-06-08-09-10-12-13-16-17-19-20-21-24-25,10
821,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,10
821,M3_mais_atrasadas,02-04-07-09-11-12-14-15-17-18-19-20-21-22-25,9
821,M4_par_impar_balanceado,02-03-04-07-08-09-10-13-14-15-18-21-22-23-24,9
821,M5_soma_faixa_comum,01-02-03-08-09-10-11-12-14-15-16-18-21-22-24,9
822,M1_aleatorio_puro,01-03-04-05-06-07-10-11-12-13-14-15-19-20-23,8
822,M2_mais_frequentes,01-02-03-04-09-11-12-13-14-15-19-21-23-24-25,10
822,M3_mais_atrasadas,01-02-04-06-08-09-11-12-13-14-15-18-19-20-22,8
822,M4_par_impar_balanceado,03-04-07-08-09-12-13-14-15-16-19-20-21-22-24,9
822,M5_soma_faixa_comum,01-02-03-04-07-11-12-15-17-18-19-21-22-24-25,11
823,M1_aleatorio_puro,03-05-06-07-08-10-11-12-15-16-18-19-20-21-24,7
823,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,10
823,M3_mais_atrasadas,01-03-04-05-06-07-08-09-10-11-13-15-20-22-25,9
823,M4_par_impar_balanceado,01-02-03-04-05-06-12-13-15-16-18-19-20-21-22,10
823,M5_soma_faixa_comum,02-04-06-07-11-12-13-14-16-17-19-20-21-23-25,10
824,M1_aleatorio_puro,01-02-03-04-05-07-09-11-12-18-19-20-21-24-25,11
824,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,12
824,M3_mais_atrasadas,02-03-05-06-07-08-09-10-12-15-17-18-21-23-24,7
824,M4_par_impar_balanceado,02-04-06-08-11-12-13-16-17-19-20-21-22-23-25,10
824,M5_soma_faixa_comum,01-03-04-06-07-09-10-12-13-16-19-20-21-22-25,10
825,M1_aleatorio_puro,02-04-05-06-07-09-10-11-13-16-19-20-21-23-24,8
825,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-19-21-22-23-24-25,9
825,M3_mais_atrasadas,01-04-05-06-08-09-10-13-14-16-17-18-21-23-24,9
825,M4_par_impar_balanceado,01-06-08-09-10-11-14-16-17-18-19-20-21-22-25,11
825,M5_soma_faixa_comum,01-05-06-07-08-09-11-12-14-18-21-22-23-24-25,10
826,M1_aleatorio_puro,01-03-04-05-06-07-08-09-12-16-17-18-20-21-24,10
826,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-19-21-22-23-24-25,9
826,M3_mais_atrasadas,02-03-04-05-07-11-12-15-16-17-18-19-20-21-24,11
826,M4_par_impar_balanceado,01-03-06-07-08-09-10-11-12-14-20-21-22-24-25,7
826,M5_soma_faixa_comum,01-02-05-06-07-08-09-15-18-19-20-21-22-24-25,8
827,M1_aleatorio_puro,02-03-07-09-10-12-13-15-16-17-19-20-21-23-24,10
827,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,9
827,M3_mais_atrasadas,01-02-04-05-06-07-08-09-10-11-16-19-22-23-25,9
827,M4_par_impar_balanceado,01-02-03-08-10-12-13-14-15-16-17-19-20-22-23,9
827,M5_soma_faixa_comum,02-04-06-07-08-09-10-12-13-15-16-17-18-20-25,9
828,M1_aleatorio_puro,01-02-03-04-05-07-08-12-14-15-17-19-21-22-24,10
828,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,9
828,M3_mais_atrasadas,01-02-03-05-06-07-08-11-15-18-19-20-23-24-25,10
828,M4_par_impar_balanceado,01-02-03-04-06-07-09-10-14-15-17-18-20-21-24,9
828,M5_soma_faixa_comum,02-03-04-06-07-08-10-12-14-15-18-20-22-23-25,10
829,M1_aleatorio_puro,01-02-05-07-09-10-13-15-16-17-18-19-21-24-25,10
829,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,8
829,M3_mais_atrasadas,02-03-04-05-06-07-09-10-11-13-15-16-18-21-22,9
829,M4_par_impar_balanceado,03-04-06-09-10-11-12-13-14-16-17-18-21-22-25,9
829,M5_soma_faixa_comum,01-02-03-04-05-08-14-15-17-19-20-21-22-24-25,8
830,M1_aleatorio_puro,01-04-05-07-08-09-11-14-15-20-21-22-23-24-25,8
830,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,11
830,M3_mais_atrasadas,01-03-04-06-07-08-10-11-12-14-15-18-19-20-21,9
830,M4_par_impar_balanceado,02-05-07-08-10-11-12-14-15-16-19-21-22-23-24,9
830,M5_soma_faixa_comum,01-02-04-07-10-11-12-15-16-17-18-19-21-22-23,10
831,M1_aleatorio_puro,01-04-05-06-07-08-11-12-13-17-18-19-20-21-22,9
831,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,8
831,M3_mais_atrasadas,02-03-04-05-07-08-09-10-12-15-18-20-22-24-25,9
831,M4_par_impar_balanceado,02-04-06-07-11-13-14-17-18-19-20-21-22-24-25,8
831,M5_soma_faixa_comum,01-02-05-07-10-11-13-14-15-16-18-20-23-24-25,9
832,M1_aleatorio_puro,02-03-04-06-08-10-11-13-17-18-19-20-21-23-24,8
832,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,8
832,M3_mais_atrasadas,04-05-06-07-08-10-12-13-14-15-19-21-23-24-25,11
832,M4_par_impar_balanceado,01-02-06-07-08-11-12-15-16-17-18-20-23-24-25,11
832,M5_soma_faixa_comum,01-02-03-04-05-09-12-13-15-16-18-19-20-21-22,7
833,M1_aleatorio_puro,01-03-04-05-06-08-10-12-13-14-16-18-19-20-25,10
833,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,7
833,M3_mais_atrasadas,01-03-04-05-09-13-14-15-16-17-18-19-20-21-25,8
833,M4_par_impar_balanceado,02-03-04-06-07-09-12-13-15-17-18-20-22-23-24,9
833,M5_soma_faixa_comum,02-04-06-08-10-12-13-14-16-17-18-20-22-23-24,10
834,M1_aleatorio_puro,01-04-06-07-08-10-11-17-18-19-20-22-23-24-25,10
834,M2_mais_frequentes,01-02-03-04-11-12-13-14-15-17-19-21-23-24-25,7
834,M3_mais_atrasadas,01-03-04-08-09-10-11-14-15-16-18-21-22-23-24,11
834,M4_par_impar_balanceado,01-03-04-05-06-10-12-13-14-16-17-20-21-23-24,7
834,M5_soma_faixa_comum,03-04-05-06-07-08-10-13-14-16-17-20-21-22-24,9
835,M1_aleatorio_puro,02-04-07-10-11-12-14-15-18-19-20-21-22-23-24,9
835,M2_mais_frequentes,01-02-04-11-12-13-14-15-17-19-21-22-23-24-25,11
835,M3_mais_atrasadas,01-03-05-06-07-12-13-14-15-16-17-18-21-24-25,11
835,M4_par_impar_balanceado,02-03-04-05-06-07-13-14-16-18-19-20-21-22-25,9
835,M5_soma_faixa_comum,01-03-04-06-07-08-10-11-14-16-17-21-22-23-25,9
836,M1_aleatorio_puro,01-03-04-07-08-12-14-16-17-18-20-21-22-23-24,10
836,M2_mais_frequentes,01-02-04-11-12-13-14-15-17-19-21-22-23-24-25,8
836,M3_mais_atrasadas,01-03-05-06-07-08-09-10-11-13-14-16-20-22-23,8
836,M4_par_impar_balanceado,02-03-04-07-08-11-13-14-15-16-17-18-22-23-24,9
836,M5_soma_faixa_comum,01-02-03-04-05-06-12-15-16-17-18-21-22-24-25,9
837,M1_aleatorio_puro,01-02-04-05-08-09-10-13-15-16-18-19-20-21-24,9
837,M2_mais_frequentes,01-02-04-11-12-13-14-15-17-19-21-22-23-24-25,8
